MemberCode,Id,AssignmentStatusCode,MemberId,WorkerAmazonId,Ip,BonusIdx,TotalBonus,AcceptTime,AutoApprovalTime,Deadline,SubmitTime,ApprovalTime,RejectionTime,Duration,PluralityAnswersCorrect,PluralityAnswersIncorrect,WorkerAgreementScore,Score,WorkerPayment,TaskId,Longitude,Latitude,TheGeom,ScheduledTime,StudyDay,WithinDayIndex,EmaStatusCode,TriggerTypeCode,FirstResponseTime,LastResponseTime,LastReminderTime,ErrorMessage,QuestionCode,ExtraJson,HitStatusCode,WaveId,WaveCode,TaskCode,whether_use,whether_use__score_Decision_Making,whether_use__score_Freedom_from_Coercion,whether_use__score_Communication,method,method__score_Decision_Making,method__score_Freedom_from_Coercion,method__score_Communication,baby,baby__score_Decision_Making,baby__score_Freedom_from_Coercion,baby__score_Communication,abortion,abortion__score_Decision_Making,abortion__score_Freedom_from_Coercion,abortion__score_Communication,gender,gender__score_Decision_Making,gender__score_Freedom_from_Coercion,gender__score_Communication,score_Decision_Making,score_Freedom_from_Coercion,score_Communication
a18wptvqpm9lbh,1211,Submitted,1208,A18WPTVQPM9LBH,73.208.116.245/32,,0,2015-11-24T20:49:30+0000,,,2015-11-24T20:50:15+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,3,,,,3,,,,2,,,,2,,,,2,,,,0,0,0
a1tr9fkjp25u65,1210,Submitted,1207,A1TR9FKJP25U65,50.81.143.91/32,,0,2015-11-24T20:39:59+0000,,,2015-11-24T20:41:04+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,3,,,,3,,,,2,,,,2,,,,2,,,,0,0,0
a3cppbpj602fg1,1209,Submitted,1206,A3CPPBPJ602FG1,73.4.157.209/32,,0,2015-11-24T20:32:33+0000,,,2015-11-24T20:33:48+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,3,,,,2,,,,3,,,,3,,,,2,,,,0,0,0
a17jto7e31h4id,1208,Submitted,1205,A17JTO7E31H4ID,167.21.42.12/32,,0,2015-11-24T20:13:56+0000,,,2015-11-24T20:14:33+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,2,,,,2,,,,2,,,,1,,,,0,0,0
a24w74jhp6torz,1207,Submitted,1204,A24W74JHP6TORZ,98.159.187.255/32,,0,2015-11-24T20:09:21+0000,,,2015-11-24T20:13:35+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,2,,,,2,,,,2,,,,1,,,,0,0,0
a2ghwruw4j12je,1206,Submitted,1203,A2GHWRUW4J12JE,184.90.101.45/32,,0,2015-11-24T20:09:00+0000,,,2015-11-24T20:10:08+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,3,,,,2,,,,2,,,,2,,,,0,0,0
a3b8d5792y9u3l,1205,Submitted,1202,A3B8D5792Y9U3L,69.137.71.89/32,,0,2015-11-24T20:07:16+0000,,,2015-11-24T20:09:07+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,2,,,,2,,,,2,,,,2,,,,0,0,0
a1trjx2nrctyh9,1204,Submitted,1201,A1TRJX2NRCTYH9,199.101.10.220/32,,0,2015-11-24T19:59:47+0000,,,2015-11-24T20:01:12+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,2,,,,2,,,,2,,,,1,,,,0,0,0
a3krnyl1qmc4iw,1203,Submitted,1200,A3KRNYL1QMC4IW,198.248.28.242/32,,0,2015-11-24T19:39:12+0000,,,2015-11-24T19:41:03+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,2,,,,2,,,,2,,,,1,,,,0,0,0
a3ksebyz6sacqt,1202,Submitted,1199,A3KSEBYZ6SACQT,131.238.173.97/32,,0,2015-11-24T19:38:29+0000,,,2015-11-24T19:40:54+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,3,,,,3,,,,2,,,,3,,,,2,,,,0,0,0
a3bdcuu8449kp1,1201,Submitted,1198,A3BDCUU8449KP1,64.235.69.161/32,,0,2015-11-24T19:38:07+0000,,,2015-11-24T19:40:50+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,3,,,,3,,,,2,,,,2,,,,2,,,,0,0,0
a38ljcgg7l5p70,1200,Submitted,1197,A38LJCGG7L5P70,69.133.68.250/32,,0,2015-11-24T19:36:22+0000,,,2015-11-24T19:37:18+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,2,,,,2,,,,2,,,,2,,,,0,0,0
a2ystitd8qezkw,1199,Submitted,1196,A2YSTITD8QEZKW,24.20.223.163/32,,0,2015-11-24T19:20:26+0000,,,2015-11-24T19:21:31+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,3,,,,3,,,,2,,,,3,,,,2,,,,0,0,0
a111ji6apxr6qv,1196,Submitted,175,A111JI6APXR6QV,117.206.32.35/32,,0,2015-11-24T19:12:18+0000,,,2015-11-24T19:15:30+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,2,,,,2,,,,2,,,,1,,,,0,0,0
a2hr7zix42fepg,1197,Submitted,1194,A2HR7ZIX42FEPG,24.175.170.135/32,,0,2015-11-24T19:14:14+0000,,,2015-11-24T19:15:33+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,3,,,,3,,,,3,,,,3,,,,2,,,,0,0,0
ano4yton4ui6l,1198,Submitted,1195,ANO4YTON4UI6L,72.49.1.52/32,,0,2015-11-24T19:15:48+0000,,,2015-11-24T19:16:37+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,1,,,,2,,,,1,,,,1,,,,0,0,0
a21okg7z63kli0,1194,Submitted,1193,A21OKG7Z63KLI0,207.144.99.6/32,,0,2015-11-24T19:08:02+0000,,,2015-11-24T19:09:04+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,2,,,,3,,,,2,,,,2,,,,0,0,0
a99qrhr8p2uhn,1193,Submitted,1192,A99QRHR8P2UHN,223.236.137.234/32,,0,2015-11-24T19:05:51+0000,,,2015-11-24T19:08:14+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,1,,,,3,,,,2,,,,2,,,,2,,,,0,0,0
a3u56b8ym2whim,1192,Submitted,1191,A3U56B8YM2WHIM,209.143.32.3/32,,0,2015-11-24T18:51:02+0000,,,2015-11-24T18:55:28+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,1,,,,3,,,,2,,,,2,,,,0,0,0
a2izpzzfi90j76,1191,Submitted,1190,A2IZPZZFI90J76,73.161.101.132/32,,0,2015-11-24T18:24:39+0000,,,2015-11-24T18:26:14+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,3,,,,3,,,,3,,,,3,,,,2,,,,0,0,0
a169ye6mxh72w0,1190,Returned,1189,A169YE6MXH72W0,65.204.17.23/32,,0,2015-11-24T18:23:38+0000,,,,,,,,,,,,84,,,,,,,,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,,,,,,,,,,,,,,,,,,,,,,,
a2xgc47xtmvcoa,1189,Submitted,1188,A2XGC47XTMVCOA,68.1.195.167/32,,0,2015-11-24T18:02:03+0000,,,2015-11-24T18:02:59+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,3,,,,1,,,,2,,,,2,,,,0,0,0
a149mn8un8o976,1187,Submitted,1186,A149MN8UN8O976,108.211.160.3/32,,0,2015-11-24T17:59:05+0000,,,2015-11-24T18:01:29+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,2,,,,2,,,,2,,,,1,,,,0,0,0
a325d4p7oz6j82,1188,Submitted,1187,A325D4P7OZ6J82,115.241.122.71/32,,0,2015-11-24T17:58:40+0000,,,2015-11-24T17:59:27+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,1,,,,1,,,,2,,,,2,,,,1,,,,0,0,0
a1prwrrwnyskwe,1186,Submitted,1185,A1PRWRRWNYSKWE,115.241.7.18/32,,0,2015-11-24T17:46:05+0000,,,2015-11-24T17:47:33+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,2,,,,2,,,,2,,,,1,,,,0,0,0
a1gia6wcgrjry7,1183,Submitted,1182,A1GIA6WCGRJRY7,100.40.139.222/32,,0,2015-11-24T17:42:50+0000,,,2015-11-24T17:43:34+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,3,,,,3,,,,3,,,,2,,,,2,,,,0,0,0
a35721h63cdlvr,1185,Submitted,1184,A35721H63CDLVR,71.46.56.98/32,,0,2015-11-24T17:40:58+0000,,,2015-11-24T17:41:17+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,3,,,,2,,,,2,,,,2,,,,0,0,0
aosvd3jqfvqx7,1184,Submitted,1183,AOSVD3JQFVQX7,72.79.143.51/32,,0,2015-11-24T17:39:53+0000,,,2015-11-24T17:40:42+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,3,,,,3,,,,2,,,,3,,,,2,,,,0,0,0
awppiw21dgl29,1182,Submitted,1181,AWPPIW21DGL29,117.206.107.33/32,,0,2015-11-24T17:32:35+0000,,,2015-11-24T17:34:36+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,1,,,,1,,,,2,,,,1,,,,1,,,,0,0,0
a1ojqv5qt7ffaw,1181,Submitted,1180,A1OJQV5QT7FFAW,144.13.137.207/32,,0,2015-11-24T17:22:32+0000,,,2015-11-24T17:23:20+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,1,,,,1,,,,1,,,,1,,,,1,,,,0,0,0
a3unweyt7wic3c,1180,Submitted,1179,A3UNWEYT7WIC3C,117.205.236.151/32,,0,2015-11-24T17:21:28+0000,,,2015-11-24T17:22:45+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,1,,,,2,,,,1,,,,1,,,,0,0,0
aun8yvoxgu1k6,1179,Submitted,1178,AUN8YVOXGU1K6,172.242.211.5/32,,0,2015-11-24T17:11:56+0000,,,2015-11-24T17:13:41+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,3,,,,2,,,,2,,,,2,,,,0,0,0
awco7mg0bhstq,1174,Submitted,1174,AWCO7MG0BHSTQ,24.90.188.196/32,,0,2015-11-24T17:08:46+0000,,,2015-11-24T17:10:04+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,2,,,,3,,,,3,,,,2,,,,0,0,0
a2za6ja2da69ul,1178,Submitted,1177,A2ZA6JA2DA69UL,73.227.193.90/32,,0,2015-11-24T17:07:09+0000,,,2015-11-24T17:08:57+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,3,,,,3,,,,3,,,,2,,,,0,0,0
a8ye1tdy708qw,1177,Submitted,1108,A8YE1TDY708QW,128.122.59.245/32,,0,2015-11-24T17:05:54+0000,,,2015-11-24T17:06:42+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,3,,,,3,,,,2,,,,2,,,,2,,,,0,0,0
a2yvpt5wezga8z,1176,Submitted,1176,A2YVPT5WEZGA8Z,172.101.168.234/32,,0,2015-11-24T16:58:06+0000,,,2015-11-24T16:59:22+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,3,,,,3,,,,2,,,,3,,,,2,,,,0,0,0
a2ezp38klcl8db,1175,Returned,1175,A2EZP38KLCL8DB,155.219.24.74/32,,0,2015-11-24T16:52:18+0000,,,,,,,,,,,,84,,,,,,,,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,,,,,,,,,,,,,,,,,,,,,,,
a3398sw8dh3uhn,1173,Submitted,1173,A3398SW8DH3UHN,174.53.15.27/32,,0,2015-11-24T16:47:47+0000,,,2015-11-24T16:49:09+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,3,,,,2,,,,3,,,,2,,,,0,0,0
a3gtybsv2fox8g,1172,Submitted,1172,A3GTYBSV2FOX8G,180.215.123.23/32,,0,2015-11-24T16:39:15+0000,,,2015-11-24T16:40:09+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,1,,,,2,,,,2,,,,2,,,,2,,,,0,0,0
a1uizo0d1wc4h6,1171,Returned,1171,A1UIZO0D1WC4H6,172.98.67.47/32,,0,2015-11-24T16:38:30+0000,,,,,,,,,,,,84,,,,,,,,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,,,,,,,,,,,,,,,,,,,,,,,
a2hgaq9woeu9pn,1169,Submitted,1169,A2HGAQ9WOEU9PN,75.185.36.89/32,,0,2015-11-24T16:35:45+0000,,,2015-11-24T16:36:53+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,3,,,,3,,,,3,,,,2,,,,1,,,,0,0,0
aiukv0kvalmy6,1170,Submitted,1170,AIUKV0KVALMY6,75.68.119.60/32,,0,2015-11-24T16:36:46+0000,,,2015-11-24T16:37:06+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,3,,,,3,,,,3,,,,3,,,,2,,,,0,0,0
a1j04lcvpiwvb0,1166,Submitted,1167,A1J04LCVPIWVB0,107.223.130.225/32,,0,2015-11-24T16:31:42+0000,,,2015-11-24T16:33:38+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,2,,,,2,,,,2,,,,1,,,,0,0,0
a3mexvf979s444,1167,Submitted,1168,A3MEXVF979S444,24.59.119.125/32,,0,2015-11-24T16:31:40+0000,,,2015-11-24T16:32:17+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,2,,,,2,,,,2,,,,1,,,,0,0,0
axcprxo08dfah,1165,Submitted,1166,AXCPRXO08DFAH,122.164.138.254/32,,0,2015-11-24T16:30:25+0000,,,2015-11-24T16:32:22+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,3,,,,1,,,,1,,,,1,,,,0,0,0
a1khk2c32m9ber,1159,Submitted,1165,A1KHK2C32M9BER,93.136.10.150/32,,0,2015-11-24T16:28:02+0000,,,2015-11-24T16:29:50+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,1,,,,3,,,,1,,,,2,,,,1,,,,0,0,0
a12dravzsurcnq,1163,Submitted,1163,A12DRAVZSURCNQ,104.207.136.96/32,,0,2015-11-24T16:29:00+0000,,,2015-11-24T16:29:50+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,1,,,,2,,,,2,,,,2,,,,1,,,,0,0,0
arfk5jvm6g8t2,1164,Submitted,1164,ARFK5JVM6G8T2,76.177.218.174/32,,0,2015-11-24T16:29:10+0000,,,2015-11-24T16:29:50+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,1,,,,1,,,,2,,,,2,,,,1,,,,0,0,0
a273ds7tqwr9m1,1161,Submitted,1161,A273DS7TQWR9M1,24.12.154.253/32,,0,2015-11-24T16:28:39+0000,,,2015-11-24T16:29:47+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,2,,,,2,,,,2,,,,1,,,,0,0,0
a154x03nkvzzl1,1160,Submitted,1160,A154X03NKVZZL1,148.74.20.127/32,,0,2015-11-24T16:28:35+0000,,,2015-11-24T16:29:10+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,3,,,,3,,,,2,,,,2,,,,1,,,,0,0,0
a33qbhgr75312l,1162,Submitted,1162,A33QBHGR75312L,197.164.35.30/32,,0,2015-11-24T16:28:46+0000,,,2015-11-24T16:29:42+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,2,,,,3,,,,2,,,,1,,,,0,0,0
